タイムスタンプ,学籍番号,氏名,学年,調理担当ですか？,一緒に組みたいお友達,11月1日(準備日),11月2日(学祭1日目),11月3日(学祭2日目),11月4日(片付け)
2025/09/23 16:31:09,EED2349987,高木琴音,3年生,いいえ,,8:00-21:00,8:00-20:00,8:00-22:00,8:00-15:00
2025/09/26 0:00:29,ARH2348890,石井結衣,1年生,はい,ECK2595640,12:00-18:00,12:00-18:00,12:00-18:00,12:00-15:00
2025/09/26 9:16:33,BAM2363060,上田颯太,3年生,いいえ,,17:00-21:00,9:00-20:00,9:00-20:00,9:00-20:00
2025/10/09 13:54:20,LWP2494792,大野美咲,2年生,はい,CSA2616176,14:30-17:00,00:00-00:00,15:00-20:00,00:00-00:00
2025/10/09 13:54:22,CSA2616176,奥村蓮,2年生,はい,LWP2494792,14:30-17:00,00:00-00:00,15:00-20:00,00:00-00:00
2025/10/14 10:52:29,ECK2595640,片山葵,1年生,はい,"ARH2348890,arj2526255",13:00-18:00,13:00-18:00,13:00-18:00,00:00-00:00
2025/10/16 1:30:21,LTS2390333,杉山美月,3年生,はい,,00:00-00:00,8:00-20:00,8:00-20:00,8:00-15:00
2025/10/16 16:35:05,BAM2363060,上田颯太,3年生,いいえ,,17:00-21:00,"8:00-10:00,16:00-20:00",8:00-20:00,8:00-15:00
2025/10/17 10:02:06,ARJ2526255,久保彩花,1年生,はい,ltr2590168,12:00-21:00,00:00-00:00,10:00-20:00,00:00-00:00
2025/10/17 12:04:04,CSB2631692,黒田湊,3年生,いいえ,"csa2692669,CSC2475598",12:00-21:00,00:00-00:00,11:00-20:00,00:00-00:00
2025/10/17 13:12:04,ARJ2640159,小泉優奈,2年生,いいえ,LTR2569911,10:00-21:00,00:00-00:00,10:00-20:00,10:00-15:00
2025/10/20 21:44:34,ARJ2640159,小泉優奈,2年生,いいえ,LTR2569911,10:00-21:00,00:00-00:00,10:00-20:00,00:00-00:00
2025/10/20 21:50:43,LTR2569911,森田咲良,2年生,はい,,10:00-21:00,10:00-20:00,10:00-20:00,10:00-15:00
2025/10/20 21:57:12,CSB2272037,清水凛,3年生,はい,,11:00-17:00,13:30-17:30,14:30-16:30,00:00-00:00
2025/10/20 23:14:17,ECK2626643,白石悠真,4年生,いいえ,ECK2464067,8:00-21:00,12:00-15:00,00:00-00:00,00:00-00:00
2025/10/20 23:16:11,ECK2626643,白石悠真,4年生,いいえ,ECK2464067,8:00-21:00,00:00-00:00,12:00-15:00,00:00-00:00
2025/10/21 3:33:41,LTS2390333,杉山美月,3年生,はい,,8:00-21:00,8:00-20:00,8:00-20:00,8:00-15:00
2025/10/21 19:39:59,ECK2464067,関口蒼,4年生,いいえ,,15:00-21:00,00:00-00:00,14:00-16:00,00:00-00:00
2025/10/21 20:51:17,EED2349987,高木琴音,3年生,いいえ,,00:00-00:00,10:00-20:00,10:00-20:00,00:00-00:00
2025/10/22 17:01:25,CSA2692669,竹田陸,3年生,いいえ,"CSC2475598,lwq2361412,CSB2631692",00:00-00:00,13:00-15:00,15:00-19:00,00:00-00:00
2025/10/22 17:48:58,EED2386071,田辺紗季,3年生,はい,,8:00-21:00,8:00-20:00,8:00-20:00,8:00-15:00
2025/10/22 19:33:27,EEE2659176,中川樹,4年生,いいえ,ECK2626643,15:00-00:00,14:00-00:00,14:00-16:00,00:00-00:00
2025/10/22 23:44:14,CSB2272037,清水凛,3年生,はい,,12:00-17:00,13:00-17:00,00:00-00:00,00:00-00:00
2025/10/23 13:39:19,CSC2606801,西村莉央,4年生,いいえ,,15:00-00:00,00:00-00:00,14:00-16:00,00:00-00:00
2025/10/23 14:05:57,LTS2518500,たなか風蔵,3年生,はい,,8:00-21:00,8:00-20:00,8:00-20:00,00:00-00:00
